filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,策略评分
000410.SZ_沈阳机床.csv,9,3.27%,77.78%,17.67%,-6.82%,0.993,0.772
000411.SZ_英特集团.csv,9,-1.98%,44.44%,8.99%,-15.25%,0.631,0.28
000415.SZ_渤海租赁.csv,9,-0.81%,55.56%,4.90%,-11.20%,0.521,0.289
000417.SZ_合百集团.csv,8,2.26%,62.50%,8.39%,-5.46%,2.059,1.287
000419.SZ_通程控股.csv,5,3.84%,60.00%,16.16%,-4.30%,2.648,1.589
000420.SZ_吉林化纤.csv,7,3.11%,57.14%,13.62%,-3.26%,2.683,1.533
000421.SZ_南京公用.csv,4,7.74%,75.00%,19.25%,-3.72%,3.105,2.329
000422.SZ_湖北宜化.csv,7,1.50%,57.14%,7.79%,-2.35%,1.922,1.098
000423.SZ_东阿阿胶.csv,17,1.37%,64.71%,8.25%,-5.16%,1.414,0.915
000425.SZ_徐工机械.csv,4,5.68%,75.00%,26.80%,-7.38%,1.36,1.02
000426.SZ_兴业银锡.csv,3,0.01%,33.33%,2.82%,-2.16%,2.023,0.674
000428.SZ_华天酒店.csv,7,-1.28%,42.86%,4.23%,-9.43%,0.352,0.151
000429.SZ_粤高速A.csv,2,-2.03%,0.00%,-1.51%,-2.55%,0.0,0.0
000430.SZ_ST张家界.csv,5,1.89%,80.00%,5.26%,-4.19%,0.816,0.653
000488.SZ_ST晨鸣.csv,6,1.42%,66.67%,6.51%,-2.12%,1.625,1.083
000498.SZ_山东路桥.csv,4,0.94%,50.00%,5.47%,-1.76%,2.733,1.366
000501.SZ_武商集团.csv,4,1.43%,50.00%,6.30%,-2.28%,1.758,0.879
000503.SZ_国新健康.csv,18,1.48%,44.44%,34.78%,-18.83%,1.758,0.781
000505.SZ_京粮控股.csv,6,2.78%,83.33%,8.40%,-1.52%,2.405,2.004
000506.SZ_中润资源.csv,18,-2.76%,38.89%,15.38%,-21.09%,0.771,0.3
000507.SZ_珠海港.csv,6,-2.12%,33.33%,8.23%,-13.33%,1.019,0.34
000509.SZ_华塑控股.csv,17,0.22%,47.06%,23.14%,-19.21%,1.185,0.557
000510.SZ_新金路.csv,10,9.56%,70.00%,29.72%,-1.40%,20.217,14.152
000513.SZ_丽珠集团.csv,5,1.36%,60.00%,8.50%,-7.29%,1.25,0.75
000514.SZ_渝开发.csv,2,-0.88%,50.00%,2.38%,-4.14%,0.575,0.288
000516.SZ_国际医学.csv,17,1.96%,52.94%,18.83%,-11.98%,1.801,0.954
000517.SZ_荣安地产.csv,8,-3.39%,12.50%,9.27%,-9.74%,1.783,0.223
000519.SZ_中兵红箭.csv,4,-8.96%,50.00%,1.26%,-22.82%,0.045,0.023
000520.SZ_凤凰航运.csv,9,0.82%,44.44%,20.18%,-7.73%,1.587,0.705
000521.SZ_长虹美菱.csv,4,5.49%,50.00%,21.44%,-1.15%,12.812,6.406
000523.SZ_红棉股份.csv,17,0.59%,47.06%,17.29%,-8.73%,1.466,0.69
000524.SZ_岭南控股.csv,3,4.82%,100.00%,7.58%,0.52%,0.048,0.048
000525.SZ_ST红太阳.csv,13,-0.91%,38.46%,11.11%,-8.30%,1.078,0.415
000526.SZ_学大教育.csv,26,3.05%,57.69%,31.45%,-14.38%,1.848,1.066
000528.SZ_柳工.csv,4,8.73%,50.00%,30.12%,-3.98%,4.888,2.444
000529.SZ_广弘控股.csv,3,4.21%,100.00%,8.00%,0.41%,0.042,0.042
000530.SZ_冰山冷热.csv,4,1.24%,75.00%,2.80%,-1.29%,1.611,1.208
000531.SZ_穗恒运A.csv,8,-3.64%,25.00%,10.01%,-13.29%,0.779,0.195
000532.SZ_华金资本.csv,1,2.25%,100.00%,2.25%,2.25%,0.023,0.023
000533.SZ_顺钠股份.csv,5,-2.08%,40.00%,11.67%,-19.71%,0.985,0.394
000534.SZ_万泽股份.csv,2,2.13%,50.00%,5.20%,-0.94%,5.507,2.753
000536.SZ_华映科技.csv,7,-2.11%,28.57%,2.94%,-7.77%,0.62,0.177
000537.SZ_中绿电.csv,5,0.93%,60.00%,6.17%,-3.41%,1.133,0.68
000538.SZ_云南白药.csv,7,0.94%,57.14%,6.69%,-5.59%,1.359,0.777
000539.SZ_粤电力A.csv,5,-1.98%,40.00%,3.29%,-6.32%,0.386,0.155
000541.SZ_佛山照明.csv,3,-3.07%,33.33%,3.14%,-11.76%,0.508,0.169
