ts_code,period,reason
603288.SH,20250827-20250829,死叉
603345.SH,20250827-20250829,死叉
603370.SH,20250829,数据为空
603378.SH,20250827-20250829,死叉
603388.SH,20250827-20250829,死叉
603392.SH,20250827-20250829,死叉
603398.SH,20250827-20250829,死叉
603529.SH,20250827-20250829,死叉
603557.SH,20250827-20250829,死叉
603559.SH,20250827-20250829,死叉
603580.SH,20250827-20250829,死叉
603596.SH,20250827-20250829,死叉
603666.SH,20250827-20250829,死叉
603718.SH,20250827-20250829,死叉
603721.SH,20250827-20250829,死叉
603803.SH,20250827-20250829,死叉
603819.SH,20250827-20250829,死叉
603825.SH,20250827-20250829,死叉
603828.SH,20250827-20250829,死叉
603833.SH,20250827-20250829,死叉
603843.SH,20250827-20250829,死叉
603877.SH,20250827-20250829,死叉
603883.SH,20250827-20250829,死叉
603885.SH,20250827-20250829,死叉
603939.SH,20250827-20250829,死叉
603958.SH,20250827-20250829,死叉
603982.SH,20250827-20250829,死叉
603988.SH,20250827-20250829,死叉
603990.SH,20250827-20250829,死叉
603997.SH,20250827-20250829,死叉
605008.SH,20250827-20250829,死叉
605011.SH,20250827-20250829,死叉
605199.SH,20250827-20250829,死叉
605336.SH,20250827-20250829,死叉
688096.SH,20250827-20250829,死叉
688232.SH,20250827-20250829,死叉
688266.SH,20250827-20250829,死叉
688522.SH,20250827-20250829,死叉
688559.SH,20250827-20250829,死叉
688617.SH,20250827-20250829,死叉
688776.SH,20250827-20250829,死叉
830779.BJ,20250827-20250829,死叉
830809.BJ,20250827-20250829,死叉
830896.BJ,20250827-20250829,死叉
830964.BJ,20250827-20250829,死叉
831087.BJ,20250827-20250829,死叉
831152.BJ,20250827-20250829,死叉
831175.BJ,20250827-20250829,死叉
831278.BJ,20250827-20250829,死叉
831304.BJ,20250827-20250829,死叉
831627.BJ,20250827-20250829,死叉
831726.BJ,20250827-20250829,死叉
831689.BJ,20250827-20250829,死叉
831856.BJ,20250827-20250829,死叉
831906.BJ,20250827-20250829,死叉
832000.BJ,20250827-20250829,死叉
832023.BJ,20250827-20250829,死叉
